provider_user_id,is_anonymous,subject_kind,subject_user_id,subject_unit_id,headline,sentiment,topic_tags,sbi,days_ago
u_sam,false,user,u_priya,,Priya unblocks technical decisions quickly,positive,"communication,leadership","In the routing rewrite review last sprint||Priya proposed a clear cutover plan and asked us to flag concerns by Wednesday||we shipped the rewrite on time with no incidents",12
u_jenna,false,user,u_priya,,Priya communicates clearly across teams,positive,"communication","In the cross-team architecture review for v3||Priya walked Platform through our constraints in plain language||Platform stopped pushing back and we aligned in one meeting",45
u_diego,true,user,u_priya,,Priya could delegate more of the on-call rota planning,constructive,"leadership,process","During Q1 on-call planning||Priya built the schedule alone over a weekend||the schedule had blind spots only seniors would have caught and we had to redo it",28
u_omar,false,user,u_sam,,Sam levels up the junior engineers around him,positive,"mentoring,growth","In the past two sprints||Sam paired with Jenna on the cache layer and walked her through profiling||Jenna shipped her next feature without needing review on the perf-sensitive parts",5
u_priya,false,user,u_sam,,Sam ships large changes confidently,positive,"delivery,technical-skill","On the routing rewrite||Sam broke the change into reviewable PRs and shipped each behind a flag||we caught two regressions early and rolled forward without rollback",60
u_marcus,false,user,u_alex_g,,Alex Cheng writes excellent code reviews,positive,"collaboration,technical-skill","On the API gateway refactor||Alex left detailed comments distinguishing must-fix from nits||I learned three idioms I now use in my own work",18
u_yu,true,user,u_lina,,Lina runs effective one-on-ones,positive,"leadership,communication","In our monthly 1:1s||Lina comes prepared with notes from the previous one and follows up on commitments||I feel heard and my growth feels intentional",90
u_ben,false,user,u_yu,,Yu is an excellent technical reviewer,positive,"technical-skill,mentoring","On the warehouse schema redesign||Yu spotted a race condition I missed during a design review||we fixed it before any data corruption and Yu walked me through the fix",75
u_kai,false,user,u_omar,,Omar should give earlier feedback on direction shifts,constructive,"communication,leadership","Two weeks into the auth refactor||Omar told me the approach needed to change after I'd built most of it||I spent another sprint redoing work that an earlier check-in would have caught",22
u_nia,false,unit,,unit_mobile,Mobile team is shipping consistently,positive,"delivery","Across the last two release trains||Mobile has shipped every planned feature on the announced date||cross-team trust in their commitments is visibly up",8
u_diego,true,unit,,unit_platform,Platform's API change-control needs work,negative,"process,communication","In the past month||Platform shipped three breaking gateway changes without ample notice in #api-consumers||two of our jobs failed at midnight and we had to roll back ad-hoc",35
u_sam,false,unit,,unit_data,Data team's onboarding docs are a model,positive,"process,communication","When I started looking at our warehouse metrics last week||Data's onboarding wiki had a clear setup guide and a sample notebook||I went from cold to running my own queries in under an hour",110
u_alex_c,false,user,u_priya,,Priya is fair when allocating high-visibility work,positive,"leadership,growth","During the v3 launch planning||Priya rotated the keynote demo work across three engineers including ones earlier in their career||two of us got our first exec-facing presentation",50
u_jenna,true,user,u_diego,,Diego is sometimes terse in code review,constructive,"communication","On my last three PRs||Diego left one-word comments without context||I had to ping him separately to understand what changes he wanted",3
u_rosa,false,user,u_kai,,Kai is patient with cross-team integration questions,positive,"collaboration,mentoring","When Mobile asked us about the new auth flow last week||Kai answered the same question three different ways for three different people||no one felt embarrassed asking and the integration went smoothly",14
